company,education,Industry,jobdescription,City,Job_Title,Posting_Date,Skill_Category,Experience_Years,Average_Salary,Year,Month,Month_Name
Careernet Technologies Pvt Ltd hiring for A US based Startup- Telecom domain or Mobile Domain,UG: B.Tech/B.E. - Any Specialization PG:M.Tech - Any Specialization Doctorate:Doctorate Not Required,IT-Software / Software Services,"Job Description   Send me Jobs like this Position Title: Senior QA Engineer Reports to: Director of Engineering Roles and Responsibilities Design, Develop, Execute and Automate test cases to ensure the quality of the product Review product requirements. Work with PM/development team to get a clear understanding of requirements. Define test strategy, plan and document it. Get it reviewed by all stakeholders. Define framework/tools to be used for test automation. Develop test cases for assigned modules and review it with team members. Review test cases developed by junior team members. Identify test cases for basic acceptance test; smoke tests and regression coverage for any code change during sprint. Executes test plans, logs defects to an agreed upon severity rating and makes recommendations to address defects to product team Work with team to automate significant percentage of test cases and integrate it with build system for continuous integration. Responsible for testing Non Functional requirements like performance, adaptability, interoperability. Prepare and submit test report. Ensure product quality through continuous testing and refinement of the code base Make sure there is continued effort to improve test coverage, process to achieve higher quality. Work closely with Product Development, Product Management and the Customer Support teams to insure product quality and customer satisfaction Minimum Qualifications: BE/B Tech in Computer Science or Equivalent Demonstrated expertise on at-least one automation framework such as Selenium Knowledge of Jira or any bug tracking tool Must possess good analytical and problem solving skills Expertise in scripting and programming languages (Python, Java, Shell) Proficient in Linux Good communication skills Experience working with geographically distributed development and quality engineering teams Salary:INR 9,00,000 - 14,00,000 P.A Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Testing Engineer Keyskills Automation QA Engineer Python Shell Linux Selenium Desired Candidate Profile Please refer to the Job description above Education- UG: B.Tech/B.E. - Any Specialization PG:M.Tech - Any Specialization Doctorate:Doctorate Not Required Company Profile: Careernet Technologies Pvt Ltd A US based Startup- Telecom domain or Mobile Domain It is a mobile technology company offering a global mobile data service. By means of its app and a GigSky SIM card, or an Apple SIM, it enables users to connect to a local data network while overseas. It also offers services for SMB and enterprise customers, and provides mobile data for airline EFB solutions. Download PPT Photo 1   View Contact Details",Bengaluru,"Senio QA with a Product Based Startup, Bangalore",2016-10-13 16:20:56+00:00,IT Software - Application Programming,4.5,1150000,2016,10,October
"iPlanner, Inc. hiring for Product based Company",Not Specified,IT-Software / Software Services,"Job Description   Send me Jobs like this Greetings!! We have an immediate opening for Oracle DBA Professionals - Bangalore Location Job Description : Skill : Oracle DBA Exp : 5+Years Mandatory Skills : 12C, RAC,Goldengate If interested send your Profile to renugat@iplannerinc.com Salary:INR 5,00,000 - 12,00,000 P.A Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Admin/Maintenance/Security/Datawarehousing Role:DBA Keyskills Oracle DBA Golden gate OracleDBA Oracle12C Oracle 12C Oracle Database Administration Oracle Database Admin Oracle Database Administrator Desired Candidate Profile Please refer to the Job description above Company Profile: iPlanner, Inc. Product based Company Headquartered in Texas,H1B Visa Sponsors Download PPT Photo 1   View Contact Details",Bengaluru,Good Opportunity for Oracle DBA - Bangalore Location,2016-10-13 16:20:56+00:00,IT Software - Application Programming,7.5,850000,2016,10,October
Biocon Limited,"UG: B.Tech/B.E. - Bio-Chemistry/Bio-Technology, Biomedical, Chemical, B.Pharma - Pharmacy PG:MS/M.Sc(Science) - Bio-Chemistry, Biology, Chemistry, Microbiology, MBA/PGDM - Any Specialization Doctorate:Doctorate Not Required",Pharma / Biotech / Clinical Research,"Job Description   Send me Jobs like this 1. Ensuring uninterrupted supply of raw materials and other inputs for maintaining continuity in production. 2.Creation of purchase orders in SAP. Procurement for Imported/ Indigenous Raw Materials, Biologics material, Solvents & Packing Materials, Lab Chemicals as per purchase requisition and production plan shared by various user departments.  3. Ensuring compliance to the corporate and procurement policies of the organization. Understanding guidelines and policies laid down by regulatory, taxation and commercial departments. Most importantly, Understanding of environmental laws and country specific regulations on procurement and transportation of Raw Materials, Chemicals and Hazardous Substances. 4. Managing vendor negotiations, creation of rate contracts, achieving price targets and maintaining standard pricing structure for Raw Material, Biology related material, Intermediates and other categories. 5.Timely delivery of materials as per agreed timelines / SLAs (Service Level Agreements). Achieving SLA rating of >98% for Raw Materials and Packing Materials. 6.New Vendor Development for cost reduction and de-risking of single source items. Sourcing of New Products/ Intermediates / APIs for Research & Development from domestic and overseas markets. 7.Coordinating with Production, Finance, QA (Quality Assurance),QC (Quality Control) and other functions to determine necessity of various procurement activities like vendor development, vendor evaluation, vendor audit etc. 8. Managing vendor relationship at global level. Active coordination with the vendors for cost effective supply of quality material within specific time period. 9.Coordinate with C&F (Clearing and Forwarding) Agents for on time clearance and transportation of material. 10. Gathering market intelligence on Raw Material and Packing Materials, Vendor evaluation, market analysis and bench marking data for pricing decisions. 11. Submission of monthly reports reflecting procurement health (SLA summary, vendor development, sourcing projects, spend analysis, top vendors, contract buying, savings against standard price etc) Salary:INR 4,00,000 - 8,00,000 P.A Industry: Pharma / Biotech / Clinical Research Functional Area: Supply Chain , Logistics , Purchase , Materials Role Category:Purchase/Material Management Role:Purchase/Vendor Development Manager Keyskills QA Quality Control Quality Assurance Procurement Purchase Requisition QC Vendor Audit Sourcing Production Planning Raw Material Enzymes Desired Candidate Profile 1. Candidate should have a work experience in API / Formulations / Injectable / Biologics Industry.2. Preferably 2-5 years of experience in Enzyme sourcing for Biopharma Industry.  2. Ability of Understand the Regulatory Environment for Generics Business3. Good organizational skills, planning and the ability to multitask is a plus and experience in working with diverse cultures in a dynamic, fast-paced environment. Education- UG: B.Tech/B.E. - Bio-Chemistry/Bio-Technology, Biomedical, Chemical, B.Pharma - Pharmacy PG:MS/M.Sc(Science) - Bio-Chemistry, Biology, Chemistry, Microbiology, MBA/PGDM - Any Specialization Doctorate:Doctorate Not Required Company Profile: Biocon Limited Biocon is an integrated biotechnology enterprise focused on the development of biopharmaceuticals. With successful initiatives in drug discovery and development, bioprocessing, manufacturing and global marketing, Biocon delivers products and solutions to partners and customers in over 75 countries. Biocon has the defining science, world class capabilities and a focused vision to deliver the promise of innovative and affordable medicine to a waiting world. Today, Biocon together with group companies employs more than 5000 employees with approxmimately Rs 2500 crore turnover and is expected to grow further during the current financial year . Download PPT Photo 1   View Contact Details",Bengaluru,Assistant/ Deputy Manager Purchase,2016-10-13 16:20:56+00:00,Supply Chain,7.5,600000,2016,10,October
Inspiration Manpower Consultancy Pvt. Ltd.,Not Specified,BPO / Call Centre / ITES,"Job Description   Send me Jobs like this Greetings From Inspiration Manpower! Mega job fair from 15th Oct to 22nd for top 22 Mnc's Hurry! Greetings from Inspiration Walk in to Inspiration to Avail this Opportunities WE HAVE AN EXCELLENT OPENING IN A BPO FOR VOICE PROCESS With Companies like, American Express: Customer Support Role, credit cards, Collections. JP Morgan: Financial Services Hsbc: Customer support, Account Opening Officer, Case manager, IBM India: IT Help desk, technical Support, Service desk, networking. Mphasis: Banking Process, Td /Indigo Banking. Accenture: Backend Hr, Telecom, finance & Accounts Omega Health Care: AR Caller, Medical billing. Quikr: Customer support, Sales, up selling. Microland: Enterprises Support, Active directory, troubleshooting, Technical Support. Altisource: Mortgage, Insurance, Collections. Ocwen: Mortgage, Us collections. Capgemini: Collections, Customer Support. Amazon: Seller Support, Customer support. Aditya Birla: Customer Support & Technical Support. Infinite: Customer Support & Technical Support. HP: Customer Support & Up selling. HPE: Technical support M Modal: Technical Support, Service Desk Analyst Jp Morgan: Investment Banking 24X7: Up selling, Customer Support, Collections. To Apply Call Poornima 7259027275 / 7760984460 / 9900073503 / 7259027295 Salary:INR 2,00,000 - 5,50,000 P.A. Incentives & Joining bonus Industry: BPO / Call Centre / ITES Functional Area: ITES , BPO , KPO , LPO , Customer Service , Operations Role Category:Voice Role:Associate/Senior Associate -(NonTechnical) Keyskills Csr Tsr Fresher Associate Sales Bpo Call centre Tse Voice process Customer Support Executive Finance Accounts Banking Mortgage Collections Tele sales Tele caller Investment Banking Technical Support Techincal Troubleshooting Desired Candidate Profile We are Hiring Candidates with Excellent Communication Should be flexible working in shifts fresher / Experience can Apply Relevant experience would be an added advantage Max salary Up to 7.5 lacks  Company Profile: Inspiration Manpower Consultancy Pvt. Ltd. Inspiration Manpower Consultancy, one of the fast growing end-to-end Recruitment & Staffing Solutions Consultants in India, was established in the year 2008; Inspiration Manpower provides a comprehensive, end-to-end recruitment solution that covers every need of the customer, throughout the recruitment cycle. Download PPT Photo 1   View Contact Details",Bengaluru,Banking / Mortgage / Finance / Sales / Bpo / Call Centre / Associate /,2016-10-13 16:20:56+00:00,ITES,2.5,375000,2016,10,October
Kinesis Management Consultant Pvt. Ltd,"UG: B.Tech/B.E. - Any Specialization, Diploma - Any Specialization, B.Sc - Any Specialization, BCA - Computers PG:M.Tech - Any Specialization, MCA - Computers, PG Diploma - Any Specialization",IT-Software / Software Services,"Job Description   Send me Jobs like this Core software development in Java.Min 3-8 years experience in Application software designing, programming & delivery..Knowledge of hardware infrastructure like servers, network, cloud, VPS & Domains.Java Multithreading,Spring, Server Deployment ,sql Salary:INR 4,00,000 - 8,00,000 P.A Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills Software Development OOPS CLOUD Lead Developer software programming Multithreading Socket programming Concurrency JAVA Struts Webservices JSON JSP SOAP Data serialization RMI XML FTP SSH Design patterns Core Design Servlet pl Desired Candidate Profile knowledge of Java as a programming language and OOPS concepts.Knowledge of Advanced Java (J2EE) concepts like Servlets and JSP, SOAP based web service development. Multi threading in Java.Socket programming in Java. Concurrency in Java,mysql,pl, Education- UG: B.Tech/B.E. - Any Specialization, Diploma - Any Specialization, B.Sc - Any Specialization, BCA - Computers PG:M.Tech - Any Specialization, MCA - Computers, PG Diploma - Any Specialization Company Profile: Kinesis Management Consultant Pvt. Ltd company based in Mumbai and Delhi with team strength of around 100.Our solutions make factory operations more efficient, more reliable and less user dependent, using a combination of software, electronics and process engineering. Download PPT Photo 1   View Contact Details",Mumbai,Java Developers,2016-10-13 16:20:56+00:00,IT Software - Application Programming,3.5,600000,2016,10,October
RBG HR SERVICES LLP hiring for Life Insurance Company,PG:Post Graduation Not Required,Insurance,"Job Description   Send me Jobs like this Candidate should have sales experience in any field - Company will provide existing customer data base. Candidate to develop and implement short term and long term plans to achieve sales target . JOB Role is to Sell Life Insurance Policies Salary:INR 2,50,000 - 3,00,000 P.A Industry: Insurance Functional Area: Sales , Retail , Business Development Role Category:Corporate Sales Role:Sales/Business Development Manager Keyskills Direct Sales Relationship Management Insurance Sales JOBs RBG HR advisor Corporate Sales institutional sales Delhi noida Ghaziabad Desired Candidate Profile Skill Required : Minimum 1 year of experience in sales. Max Age 29 Presentable candidate with good communication skills. Candidate with relationship building and leadership skills. Education- PG:Post Graduation Not Required Company Profile: RBG HR SERVICES LLP Life Insurance Company RBG HR Services Hiring for Life Insurance Company Download PPT Photo 1   View Contact Details",Bengaluru,Wealth Planning Offices - Direct Sales - Life Insurance,2016-10-13 16:20:56+00:00,Sales,3.5,275000,2016,10,October
BMS Innolabs Software Pvt. Ltd hiring for For Taxi Aggregation Company,"UG: B.Tech/B.E. - Any Specialization, BCA - Computers",IT-Software / Software Services,"Job Description   Send me Jobs like this Job Description We are looking for developers well verse in C#, SQL Server, .NET MVC and has a practical understanding of how to build scalable, reliable systems. You will be working on algorithms and smart backend APIs to power highly connected transportation systems. Experience: 3-5 Years Responsibilities: - Design and build Backend Web service APIs - Deliver high quality, legible and well tested code. - Design and develop high-volume, low-latency applications without compromising Performance and Scalability. - Work at the core of the data-centric decision making approach by generating data and meaningful insights. - Integrate with existing systems and automate manual processes. - Keep thinking about the user and constantly innovate to improve the overall user experience. - Production systems monitoring and support. Skills (Required): - Hands on work experience in developing backend systems. - Good understanding of MVC framework. - Good understanding of SQL querying - joins, grouping, etc. - Good understanding of Algorithms, data structures, and other basic computing principles. - Good understanding of software architecture of contemporary highly scalable systems and reliable systems. - Eagerness to learn new technologies, languages. Salary:INR 3,00,000 - 7,50,000 P.A Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills Web API MVC Desired Candidate Profile Please refer to the Job description above Education- UG: B.Tech/B.E. - Any Specialization, BCA - Computers Company Profile: BMS Innolabs Software Pvt. Ltd For Taxi Aggregation Company Product Company Download PPT Photo 1   View Contact Details",Bengaluru,Dot Net Developer - ( Bangalore - Whitefield),2016-10-13 16:20:56+00:00,IT Software - Application Programming,4.5,525000,2016,10,October
EFS Facilities Services (india) Pvt. Ltd.,Not Specified,Facility Management,"Job Description   Send me Jobs like this We do have urgent requirements for the below jobs:  Multi Skill Technician, HVAC Technician, AV Technician, plumber carpenter, Salary Range : Upto 9,000/- to 12,000/- Take Home Thanks & Regards Prakash (HR) EFS Facilities Services (India) Pvt. Ltd Brigade Square, Municipal Corporation # 21, 4 th Floor, Cambridge Road, Ulsoor, Bangalore - 560008. http://www.efsme.com/ Tel: +91 80 88814307 Salary:INR 50,000 - 2,00,000 P.A Industry: Facility Management Functional Area: Site Engineering , Project Management Role Category:Site Engineering Role:Maintenance Engineer Keyskills hvac technician AC Technician Air Conditioning av technicians carpenter multi skill technician HVAC Desired Candidate Profile Please refer to the Job description above Company Profile: EFS Facilities Services (india) Pvt. Ltd. EFS India employs more than 3200 people, with Pan India operations spanning across major cities . The Company's corporate office is at Delhi with other major offices located in Bangalore, Chennai, Mumbai and Kolkata besides other local operating offices. EFS is serving clients in areas of Integrated Facility Management and Energy Services for Industry and Power. The Facility Management vertical has a strong team of technical resources across India which is committed to strong service delivery. The Company manages about 25m sq. ft. of facilities management portfolio spread over 18 cities and 50 clients. Company's approach to Facility Management extends beyond day to day operations to overall equipment maintenance, life cycle enhancement and capital value protection for our clients. The Energy Business vertical provides the expertise and services for comprehensive O&M services for Power Plants and Industrial Facilities covering Steam Systems, Water Treatment Plants and Electrical & Mechanical Utility Systems. The Energy Business also provides Technical Services such as Supervisory Services for Construction & Commissioning, Due Diligence, Project Management Services and Technical & Performance Audits. Our present client base in India comprises a premium client base Download PPT Photo 1   View Contact Details",Bengaluru,Need Technicians,2016-10-10 16:20:57+00:00,Site Engineering,2.5,125000,2016,10,October
Job Finder,"UG: B.Com - Commerce, B.B.A / B.M.S - Management PG:CA",BPO / Call Centre / ITES,"Job Description   Send me Jobs like this Hiring for R2R Operations Manager for Bangalore, CA with 10+ yrs of exp into R2R (Post qualification) Taxation & Audit Client management exp mandate (International client) TL exp of 50+ members Rajni(9213701010) rajni.jobsexpert@gmail.com Salary:INR 7,00,000 - 16,00,000 P.A. Night shifts+incentives Industry: BPO / Call Centre / ITES Functional Area: ITES , BPO , KPO , LPO , Customer Service , Operations Role Category:Voice Role:Assistant Manager/Manager -(NonTechnical) Keyskills Operations Manager R2R Client management International client Record to report Reconciliation Desired Candidate Profile CA with 10+ yrs of exp into R2R (Post qualification) Taxation & Audit,Reconcilations,record to report Client management exp mandate (International client) TL exp of 50+ members 9213701010 rajni.jobsexpert@gmail.com Education- UG: B.Com - Commerce, B.B.A / B.M.S - Management PG:CA Company Profile: Job Finder A small, hard-working consulting firm based out of Delhi. Established in 2005, we hit the ground running with our direct approach to finding success. Large scale solutions, End to End Recruitment and RPO, we offer our clients the full package Download PPT Photo 1   View Contact Details",Bengaluru,R2R Operations Manager/bangalore - Upto 17 L,2016-10-10 16:20:57+00:00,ITES,13,1150000,2016,10,October
Accel Frontline Limited,UG: Any Graduate - Any Specialization Doctorate:Doctorate Not Required,IT-Software / Software Services,"Job Description   Send me Jobs like this Accel Frontline - CAC company Accel Frontline Ltd (BSE: 532774) is an IT services company based in Chennai, India. It was a joint-venture company between Accel Limited of Chennai and Frontline Technologies Corporation Limited of Singapore. Its main business is providing IT infrastructure management, software solutions and warranty management services. It operates through an all-India network of more than 100 locations in India and overseas offices in Dubai, Singapore, London, Tokyo and Santa Clara California. Jobs roles &Responsibilities: Position Title : Sr Software Engineer Work Location : Bangalore Job type : Permanent Experience : 6+ yrs Skills * Experience in C++ and VC++ with MFC * Strong foundation in Design and Unit Testing. * Strong analytical and problem solving skills. * Ability to learn new technologies, software, and concepts quickly is essential. Salary:INR 6,00,000 - 10,00,000 P.A Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Team Lead/Technical Lead Keyskills C++ MFC VC++ Software Engineering Unit Testing Management Services IT Services Software Solutions Desired Candidate Profile Please refer to the Job description above Education- UG: Any Graduate - Any Specialization Doctorate:Doctorate Not Required Company Profile: Accel Frontline Limited Accel Frontline Limited (AFL) is one of the leading Systems and Technology Solutions Company based in India. Accel is a public limited company listed in Mumbai Stock Exchange (BSE) having revenues of USD 67+Million. In India we have 100+ offices with 3000+ engineers. We are present in 6 countries. In December 2013, CAC Corporation, Japan, a USD 400 Million worth company has invested in AFL, which will bring significantly growth. Download PPT Photo 1   View Contact Details",Bengaluru,"Immediate Opening for Sr VC++ , C++ Professionals at AFL",2016-10-09 16:20:57+00:00,IT Software - Application Programming,7,800000,2016,10,October
